5, 9015, 6333
10, 9074, 6371
15, 9080, 6414
20, 9085, 6461
25, 9085, 6525
30, 9085, 6606
35, 9085, 6704
40, 9240, 6810
45, 9240, 6954
50, 9240, 7086
55, 9240, 7248
60, 9240, 7371
65, 9240, 7500
70, 9263, 7622
75, 9263, 7750
80, 9263, 7848
85, 9263, 7909
90, 9263, 7955
95, 9263, 7988
100, 9263, 8022
105, 9263, 8062
110, 9263, 8087
115, 9263, 8155
120, 9263, 8193
125, 9263, 8229
130, 9263, 8269
135, 9263, 8315
140, 9263, 8346
145, 9263, 8395
150, 9263, 8428
155, 9263, 8461
160, 9263, 8500
165, 9263, 8517
170, 9263, 8564
175, 9263, 8600
180, 9263, 8616
185, 9263, 8652
190, 9263, 8690
195, 9263, 8716
200, 9263, 8723
205, 9263, 8747
